ID,City,Latitude,Longitude
553,Linden,32.305343,-87.795358
554,Lineville,33.328613,-85.734609
555,Lisman,32.217722,-88.323419
556,Little River,31.22459,-87.754796
557,Livingston,32.588509,-88.173592
558,Loachapoka,32.604167,-85.593333
559,Lockhart,31.010278,-86.349722
560,Locust Fork,33.9075,-86.615278
561,Logan,34.184079,-87.038115
562,Louisville,31.794262,-85.558062
563,Lower Peach Tree,31.850365,-87.568224
564,Lowndesboro,32.300292,-86.609868
565,Loxley,30.617964,-87.75624
566,Luverne,31.70739,-86.256601
567,Lynn,34.052984,-87.539814
568,Madison,34.6578,-86.8056
569,Madison,34.7837,-86.7486
570,Magnolia,32.141931,-87.699815
571,Magnolia Springs,30.394497,-87.785781
572,Malcolm,31.191111,-88.0075
573,Malvern,31.157528,-85.522327
574,Maplesville,32.804507,-86.871704
575,Marbury,32.639373,-86.510138
576,Margaret,33.686111,-86.475
577,Marion,32.646301,-87.331437
578,Marion Junction,32.426589,-87.270181
579,Mathews,32.128288,-86.041262
580,Maylene,33.231694,-86.872745
581,Mc Calla,33.284546,-87.102379
582,Mc Intosh,31.236108,-88.051102
583,Mc Kenzie,31.54495,-86.735615
584,Mc Shan,33.381667,-88.143333
585,Mc Williams,31.845556,-87.088333
586,Megargel,31.379722,-87.428333
587,Melvin,31.930278,-88.458889
588,Mentone,34.587236,-85.577728
589,Meridianville,34.861779,-86.578879
590,Mexia,31.506944,-87.388333
591,Midland City,31.36716,-85.513033
592,Midway,32.09552,-85.531523
593,Millbrook,32.499485,-86.364125
594,Millerville,33.158959,-85.969001
595,Millport,33.54013,-88.200003
596,Millry,31.626871,-88.355872
597,Minter,32.095387,-86.92497
598,Mobile,30.6959,-88.0434
599,Monroeville,31.51533,-87.340993
600,Montevallo,33.124765,-86.862228
601,Montgomery,32.3743,-86.3118
602,Montrose,30.565556,-87.901667
603,Moody,33.584132,-86.51557
604,Mooresville,34.628333,-86.880278
605,Morris,33.739172,-86.772551
606,Morvin,31.967305,-87.972897
607,Moulton,34.505836,-87.222385
608,Moundville,32.978853,-87.615134
609,Mount Hope,34.462969,-87.451453
610,Mount Meigs,32.3625,-86.101944
611,Mount Olive,33.67678,-86.87171
612,Mount Vernon,31.097375,-88.035044
613,Mulga,33.540696,-87.043998
614,Munford,33.540987,-85.936322
615,Muscadine,33.752913,-85.378907
616,Muscle Shoals,34.756136,-87.630443
617,Myrtlewood,32.250278,-87.949722
618,Nanafalia,32.112778,-87.988056
619,Natural Bridge,34.093333,-87.601944
620,Nauvoo,33.929859,-87.432449
621,Needham,32.012165,-88.345798
622,New Brockton,31.36898,-85.940386
623,New Castle,33.648889,-86.768611
624,New Hope,34.549445,-86.3961
625,New Market,34.899991,-86.448742
626,Newbern,32.551465,-87.561472
627,Newton,31.331064,-85.599229
628,Newville,31.440295,-85.328741
629,Normal,34.788889,-86.571944
630,Northport,33.2605,-87.5872
631,Notasulga,32.543727,-85.68707
632,Oak Hill,31.925,-87.0825
